Artist,Venue,StartTime,Duration
Book On Tape Worm,St Mary's,9:30,30
Pinguin Mofex,Velour,10:30,30
S_2 Cool (Stuart Maxfield of Fictionist),Dry Bar,10:00,30
Ryan Innes,Dry Bar,9:00,30
Robert Loud (of The Killers/Fictionist),A Frame,7:00,30
Motion Coaster,Dry Bar,11:00,30
Mr. Tape,Underground,11:00,45
House of Lewis,Underground,8:00,120
Tishmal,A Frame,8:00,30
Lantern By Sea,Velour,9:30,30
Grey Glass,Third Space,10:30,30
The Backseat Lovers,Velour,8:30,30
Baby Ghosts,A Frame,10:00,30
Jenn Blosil,Dry Bar,7:00,30
Michael Barrow & The Tourists,Dry Bar,8:00,30
Harpers,Man Barber,11:00,30
Goldmyth,St Mary's,8:30,30
Mia Grace,Man Barber,9:00,30
Stuart Wheeler (of Quiet House) & Stephen Cope,St Mary's,10:30,30
Belle Jewel,Dry Bar,6:00,30
Wallfly,A Frame,9:00,30
Sister Adolescent,A Frame,6:00,30
Emily Brown,St Mary's,7:30,30
Telesomniac,Velour,5:30,30
Harbor Patrol,Third Space,9:30,30
Say Hey,Third Space,7:30,30
New Hollywood,Third Space,6:30,30
Little Moon,St Mary's,6:30,30
Star Crossed Loners,Third Space,5:30,30
Kasadoom (Members of Toy Bombs),Velour,7:30,30
Stephanie Mabey,St Mary's,5:30,30
Major Tom & The Moonboys,A Frame,11:00,30
Kenton,Third Space,4:30,30
The Fangs,Velour,3:30,30
Currents,A Frame,5:00,30
Chuck Emery (of Brother),Man Barber,9:40,30
Fox Running (Emmalie Arntz of Pipes),Man Barber,10:20,30
Josh Snider,Man Barber,8:20,30
M. Horton Smith,Man Barber,7:40,30
Roadie,Man Barber,5:40,30
Nate Hardyman,Man Barber,7:00,30
Tate Sexton,Man Barber,6:20,30
Seth Brown,Man Barber,5:00,30
Cherish DeGraff,Man Barber,3:40,30
Mia Hicken,Man Barber,3:00,30
The Djinn,Third Space,3:30,30
DJ Scratchmo,Underground,5:00,45
DJ Kid Machine,Underground,4:00,45
Nymph,Velour,6:30,30
Paul Travis,St Mary's,4:30,30
Kathleen Frewin,Man Barber,4:20,30
Lizzy Dunford,St Mary's,3:30,30
Hunter Kozak,Underground,3:00,45
